博物馆名称,定级,省份,地址,联系方式,官网链接,来源链接,是否需要复核
中国华侨历史博物馆,国家一级博物馆,北京,北京市东城区北新桥三条东口,010-64093039;010-64070943,https://www.ocmuseum.cn/a/aboutus/info/,https://www.ocmuseum.cn/a/service/location/,否
中国妇女儿童博物馆,国家一级博物馆,北京,北京市东城区北极阁路9号,010-65126655,https://www.beijing.gov.cn/renwen/rwzyd/bwg/zgfnetbwg/202301/t20230113_2899686.html,https://wwj.beijing.gov.cn/bjww/362771/362772/546153/index.html,否
中国海关博物馆,国家一级博物馆,北京,北京市东城区建国门内大街2号,010-65194458,https://wwj.beijing.gov.cn/bjww/362771/362773/546640/index.html,https://wwj.beijing.gov.cn/bjww/362771/362773/546640/index.html,否
中华人民共和国名誉主席宋庆龄同志故居,国家一级博物馆,北京,北京市西城区后海北沿46号,010-64015256,https://wwj.beijing.gov.cn/bjww/wwjzzcslm/1737418/1738088/1742745/545763/index.html,https://wwj.beijing.gov.cn/bjww/wwjzzcslm/1737418/1738088/1742745/545763/index.html,否
民族文化宫,国家一级博物馆,北京,北京复兴门内大街49号,010-83195280,https://www.cpon.cn/,https://www.cpon.cn/cms/p/contact.html,否
民航博物馆,国家一级博物馆,北京,北京市朝阳区首都机场辅路200号,010-84323666,https://www.beijing.gov.cn/renwen/rwzyd/bwg/mgbwg/202301/t20230116_2900564.html,https://www.beijing.gov.cn/renwen/rwzyd/bwg/mgbwg/202301/t20230116_2900564.html,否
中国现代文学馆,国家一级博物馆,北京,北京市朝阳区芍药居文学馆路45号,010-57311800,https://www.wxg.org.cn/,https://www.wxg.org.cn/lxwm.jhtml,否
中国铁道博物馆,国家一级博物馆,北京,北京天安门广场东南角,未明确,https://www.china-rail.org.cn/,https://www.china-rail.org.cn/clzl/jbcl/201910/t20191025_978.html,是
园林博物馆,国家一级博物馆,北京,北京市丰台区射击场路15号,010-63915025;010-63915017,http://www.gardensmuseum.cn/,https://www.gardensmuseum.cn/web/foot,否
香山革命纪念馆,国家一级博物馆,北京,北京市海淀区红枫路1号院1号楼,010-62720577,https://www.beijing.gov.cn/renwen/rwzyd/bwg/xsgmjng/202301/t20230116_2901495.html,https://wwj.beijing.gov.cn/bjww/wwjzzcslm/1737418/1738088/1742747/10879743/index.html,否
天津博物馆,国家一级博物馆,天津,天津市河西区平江道62号,022-83883000,https://www.tjbwg.com/,https://www.tjbwg.com/cn/traffic.aspx,否
天津自然博物馆,国家一级博物馆,天津,天津市河西区友谊路31号,022-23347988,https://www.tjnhm.com/,https://www.tjnhm.com/,否
周恩来邓颖超纪念馆,国家一级博物馆,天津,天津市南开区水上公园西路9号,022-23592257;022-81110903,https://www.mzhoudeng.com/,https://www.mzhoudeng.com/html/organization/index.html,否
平津战役纪念馆,国家一级博物馆,天津,天津市红桥区平津道8号,022-26526255,https://www.pjzyjng.com/,https://whly.tj.gov.cn/WSBSYZXBS4230/CXFW5394/CGCX9598/202008/t20200827_3571441.html,否
河北博物院,国家一级博物馆,河北,河北省石家庄市东大街4号,0311-966518;0311-85286688;0311-86062086;0311-86049534,https://www.hebeimuseum.org.cn/,https://yuyue.hebeimuseum.org.cn/ticket-cms/?continueFlag=0cdfa1c728dea8d5babf12436e08d2dc,否
西柏坡纪念馆,国家一级博物馆,河北,河北省平山县西柏坡村,0311-82851266,https://www.xbpjng.cn/,https://www.xbpjng.cn/columns/1f104a4c-cfc5-440a-93f1-ad289760b891/202406/04/1bd56ab7-4784-4d35-bcc2-29eb6b5db8e3.html;https://govt.chinadaily.com.cn/s/201811/30/WS5c00dc04498eefb3fe46d6ba/xibaipo-memorial.html,否
邯郸市博物馆,国家一级博物馆,河北,未明确,未明确,https://www.hdmuseum.org/,,是
乐亭县李大钊纪念馆,国家一级博物馆,河北,河北省乐亭县新城区觅园街1号,0315-4622549,https://lidazhao.org.cn/,,是
唐山博物馆,国家一级博物馆,河北,河北省唐山市路北区龙泽南路22号,0315-2855830,https://www.tsmuseum.com/,https://govt.chinadaily.com.cn/s/202411/18/WS673b0858498eec7e1f727b96/tangshan-museum.html,否
山海关中国长城博物馆,国家一级博物馆,河北,河北省秦皇岛市山海关区博物馆路1号,0335-7667777,https://www.greatwallmuseum.com/,https://govt.chinadaily.com.cn/s/202507/15/WS6876169e498edec913cde227/shanhaiguan-museum-of-the-great-wall-of-china.html,否
定州博物馆,国家一级博物馆,河北,定州市中山东路,0312-2305100,https://www.dzhmuseum.com/,https://wenwu.hebei.gov.cn/system/2023/09/27/030253854.shtml,否
承德避暑山庄博物馆,国家一级博物馆,河北,河北省承德市双桥区狮子沟桥交通节点东北角,0314-2379999;0314-7571777,https://www.chdmuseum.cn/a/about/,https://www.chdmuseum.cn/a/fuwu/canguandaolan/2020/0718/281.html;https://www.chdmuseum.cn/a/about/jtxw/413.html,否
山西博物院,国家一级博物馆,山西,山西省太原市滨河西路北段13号,0351-8789188;0351-8789222,https://www.shanximuseum.com/,https://govt.chinadaily.com.cn/s/202501/20/WS678e1b72498eec7e1f72db92/shanxi-museum.html;https://www.shanximuseum.com/,否
中国煤炭博物馆,国家一级博物馆,山西,山西省太原市迎泽西大街2号,0351-6180108;0351-4117821,http://www.coalmus.org.cn,https://govt.chinadaily.com.cn/a/201812/07/WS5c0a2580498eefb3fe46e641.html,是
八路军太行纪念馆,国家一级博物馆,山西,山西省长治市武乡县太行街363号,0355-6437841,http://www.balujun.cn/,https://ggzy.changzhi.gov.cn/front/notice/detail?id=25b4093c21214e7e9117a76604f99aa3&xmlx=ZFCG,否
大同市博物馆,国家一级博物馆,山西,山西省大同市御东新区太和路,0352-2303518,https://www.datongmuseum.com/#/guide,https://govt.chinadaily.com.cn/s/202103/12/WS604b05ba498e7a02c6f69c7d/datong-museum.html,否
山西地质博物馆,国家一级博物馆,山西,山西省太原市滨河西路北段17号,0351-4069643,http://www.sxdzbwg.com/,https://govt.chinadaily.com.cn/s/202305/29/WS64740bac498ea274927bbefc/shanxi-museum-of-geology.html,否
临汾市博物馆,国家一级博物馆,山西,山西省临汾市汾河生态文化景区九州广场南端九州公园内,0357-3999116;0357-3999118,http://www.linfenmuseum.com/,https://govt.chinadaily.com.cn/s/202103/30/WS694e2b4c498e368550339550/linfen-museum.html,否
太原市博物馆,国家一级博物馆,山西,山西省太原市晋源区长风商务区广经路13号,0351-5679056,https://www.tylyhy.cn/3A/1738507295804342273.html,https://www.tylyhy.cn/3A/1738507295804342273.html,是
太原市晋祠博物馆,国家一级博物馆,山西,未明确,未明确,https://www.chinajinci.com/,,是
运城博物馆,国家一级博物馆,山西,山西省运城市盐湖区魏风街与禹西路交汇东,0359-6359888,https://www.sxycbwg.com/,,是
内蒙古博物院,国家一级博物馆,内蒙古,内蒙古自治区呼和浩特市新城区新华东街27号,0471-4614000;0471-4614333,http://www.nmgbwy.com,https://govt.chinadaily.com.cn/s/202305/19/WS64671e39498ea274927bb1b2/inner-mongolia-museum.html;https://govt.chinadaily.com.cn/s/201812/04/WS5c062783498eefb3fe46e126/inner-mongolia-museum.html,是
鄂尔多斯市博物院,国家一级博物馆,内蒙古,内蒙古鄂尔多斯市康巴什区文化西路5号,0477-8390880;0477-8390997,http://ordosbwg.org.cn,http://ordosbwg.org.cn,是
赤峰博物馆,国家一级博物馆,内蒙古,内蒙古自治区赤峰市新城区富河街10A,0476-8255185,http://www.cfbwg.org.cn/,https://govt.chinadaily.com.cn/s/202305/19/WS64671e62498ea274927bb1b3/chifeng-museum.html,否
呼和浩特博物院（内蒙古自治区将军衙署博物院、呼和浩特市文物保护与考古研究中心）,国家一级博物馆,内蒙古,呼市新城区新华大街44号,未明确,https://hhht.nmgbb.gov.cn/hhhts/newsite/zxdt/tzgg_6078/202507/t20250717_334476.html,https://hhht.nmgbb.gov.cn/hhhts/newsite/zxdt/tzgg_6078/202507/t20250717_334476.html;https://www.ccgp-neimenggu.gov.cn/gpx-bid-file/150101/gpx-tender/2022/8/9/402881dd8254242f018280bc0d836153.pdf?accessCode=0378f250ed13c9844718570096e2758a,是
伊利草原乳文化博物馆,国家一级博物馆,内蒙古,未明确,400-816-9999,https://www.yili.com/news/company/4158,https://www.yili.com/news/company/4158,是
内蒙古自然博物馆,国家一级博物馆,内蒙古,呼和浩特市赛罕区南二环13号,0471-6381823,https://www.immnh.org.cn/,https://www.immnh.org.cn/;https://www.ccgp-neimenggu.gov.cn/gpx-bid-file/150001/gpx-tender/2024/10/23/402881cc929fd32b0192b736d7e754cf.pdf?accessCode=7f92bedb288eadeddf71991bdb5dcd7d,是
包头市博物馆（包头市文物保护中心）,国家一级博物馆,内蒙古,包头市昆区阿尔丁大街25号,0472-5317556,https://www.baotou.gov.cn/zfxxgk/fdzdgknr/fd_jyta/bm/swhlvgdj/rxjy/202505/t20250530_529831.html,https://www.baotou.gov.cn/zfxxgk/fdzdgknr/fd_jyta/bm/swhlvgdj/rxjy/202505/t20250530_529831.html;https://www.ccgp-neimenggu.gov.cn/gpx-bid-file/150201/gpx-tender/2024/1/25/402881cc8d3afaed018d3e7cdef64ecb.pdf?accessCode=2e3f176731716303849f3e942c816060,是
呼伦贝尔博物院,国家一级博物馆,内蒙古,内蒙古自治区呼伦贝尔市海拉尔区满都拉街学府路中学西北侧约100米,0470-3108406;0470-3108407,https://www.hlbebwy.com/,https://www.hlbebwy.com/index.php/home/index/service,是
阿拉善博物馆,国家一级博物馆,内蒙古,未明确,未明确,https://www.als.gov.cn/art/2024/5/21/art_6_526439.html,https://www.als.gov.cn/art/2024/5/21/art_6_526439.html,是
辽宁省博物馆,国家一级博物馆,辽宁,辽宁省沈阳市浑南区智慧三街157号,024-23205102-5100,https://www.lnmuseum.com.cn/,https://www.lnmuseum.com.cn/,是
沈阳“九·一八”历史博物馆,国家一级博物馆,辽宁,辽宁省沈阳市大东区望花南街46号,未明确,http://www.918museum.org.cn/,http://www.918museum.org.cn/,是
旅顺博物馆,国家一级博物馆,辽宁,辽宁省大连市旅顺口区列宁街42号,0411-86383334;0411-86382378,https://lvshunmuseum.cn/,https://www.lvshunmuseum.cn/mobile/service_gbook.aspx,否
沈阳故宫博物馆,国家一级博物馆,辽宁,中国辽宁省沈阳市沈河区沈阳路171号,024-24843809;024-24843001-8895;024-24842106;024-24843001-8805;024-81196299,https://www.sypm.org.cn/,https://www.sypm.org.cn/contact.html,否
大连博物馆,国家一级博物馆,辽宁,辽宁省大连市沙河口区会展路10号,0411-84801052,https://www.dlmodernmuseum.com/,https://www.dlmodernmuseum.com/service/;https://www.dlmodernmuseum.com/news/detail/1619.html,否
大连自然博物馆,国家一级博物馆,辽宁,大连市沙河口区黑石礁西村街40号,+86-411-84691290;+86-411-84675544-8009;+86-411-84675544-8001,http://www.dlnm.org.cn/,https://regional.chinadaily.com.cn/liaoning/dljp/2022-01/14/c_698903.htm,否
鞍钢博物馆,国家一级博物馆,辽宁,未明确,未明确,https://www.csm.org.cn/col/col6293/art/2024/art_2b94770bb2dd4899918f63531fd4141c.html,https://www.csm.org.cn/col/col6293/art/2024/art_2b94770bb2dd4899918f63531fd4141c.html,是
抗美援朝纪念馆（丹东市抗美援朝研究中心）,国家一级博物馆,辽宁,未明确,未明确,https://mzt.ln.gov.cn/mzt/hdzl/decqgdmpczl/93003C6705DC4A0185FF0C9FE2B604F9/index.shtml,https://mzt.ln.gov.cn/mzt/hdzl/decqgdmpczl/93003C6705DC4A0185FF0C9FE2B604F9/index.shtml,是
辽沈战役纪念馆,国家一级博物馆,辽宁,辽宁省锦州市凌河区北京路五段一号,未明确,https://whly.ln.gov.cn/whly/wlzt/sjly/ajjq/B167F28C17CC48DBB5647180BCC81033/index.shtml,https://whly.ln.gov.cn/whly/wlzt/sjly/ajjq/B167F28C17CC48DBB5647180BCC81033/index.shtml,是
吉林省自然博物馆,国家一级博物馆,吉林,吉林省长春市净月大街2556号东北师范大学自然博物馆（东北师范大学净月校区东门对面）,0431-84537568,https://museum.nenu.edu.cn/,https://museum.nenu.edu.cn/info/1014/4862.htm,否
吉林省博物院,国家一级博物馆,吉林,长春市净月国家高新技术产业开发区永顺路1666号,0431-81959512,http://www.jlmuseum.org/,https://whhlyt.jl.gov.cn/ggfw/whcg/bwg/201602/t20160225_3107944.html,否
伪满皇宫博物院,国家一级博物馆,吉林,长春市宽城区光复北路5号,82866611;82860547,http://www.wmhg.com.cn/,https://whhlyt.jl.gov.cn/ggfw/whcg/bwg/201406/t20140604_3108002.html,否
吉林市博物馆（吉林市陨石博物馆）,国家一级博物馆,吉林,吉林市丰满区吉林大街100号,0432-66072012,http://www.jlsmuseum.org.cn/,https://whhlyt.jl.gov.cn/ggfw/whcg/bwg/201602/t20160229_3108025.html,否
四平战役纪念馆,国家一级博物馆,吉林,四平市铁西区公园北街英雄广场内,0434-5016927,https://spmm.gov.cn/,https://whhlyt.jl.gov.cn/ggfw/whcg/bwg/201405/t20140526_2597261.html,否
东北烈士纪念馆（东北抗联博物馆、中共黑龙江历史纪念馆、革命领袖视察黑龙江纪念馆、东北抗联精神陈列馆）,国家一级博物馆,黑龙江,哈尔滨市南岗区一曼街241号,0451-53643712,https://wlt.hlj.gov.cn/wlt/c114195/202011/c00_31051874.shtml,https://wlt.hlj.gov.cn/wlt/c114195/202011/c00_31051874.shtml,否
大庆铁人王进喜纪念馆,国家一级博物馆,黑龙江,大庆市让胡路区世纪大道和铁人大道交汇处,未明确,https://wlt.hlj.gov.cn/wlt/c114162/202302/c00_31530413.shtml,https://wlt.hlj.gov.cn/wlt/c114162/202302/c00_31530413.shtml,是
黑河市瑷珲历史陈列馆,国家一级博物馆,黑龙江,黑河市爱辉区瑷珲镇延厘路,未明确,https://www.aihui.gov.cn/ahq/c101109/202502/c11_320739.shtml,https://www.aihui.gov.cn/ahq/c101109/202502/c11_320739.shtml,是
黑龙江省博物馆,国家一级博物馆,黑龙江,哈尔滨市南岗区红军街64号,0451-53672646,http://www.hljmus.org.cn/,https://wlt.hlj.gov.cn/wlt/c114145/202508/c00_31868578.shtml,否
大庆市博物馆,国家一级博物馆,黑龙江,未明确,未明确,https://wlt.hlj.gov.cn/wlt/c114162/202405/c00_31736033.shtml,https://wlt.hlj.gov.cn/wlt/c114162/202405/c00_31736033.shtml,是
黑龙江省民族博物馆,国家一级博物馆,黑龙江,哈尔滨市南岗区文庙街25号,0451-82540093,http://www.hljsmzbwg.org.cn/,https://wlt.hlj.gov.cn/wlt/c114195/202011/c00_31051870.shtml,否
哈尔滨市侵华日军第七三一部队罪证陈列馆,国家一级博物馆,黑龙江,哈尔滨市平房区新疆大街23号；哈尔滨市平房区新疆大街47号（本部旧址）,0451-51747773;0451-51685222,https://wlt.hlj.gov.cn/wlt/c114254/202501/c00_31798291.shtml,https://wlt.hlj.gov.cn/wlt/c114254/202501/c00_31798291.shtml,否
上海博物馆,国家一级博物馆,上海,上海市黄浦区人民大道201号,+86-(0)21-63723500,https://www.shanghaimuseum.net/mu/frontend/pg/infomation/about,https://www.shanghaimuseum.net/mu/frontend/pg/en/infomation/contact,是
上海鲁迅纪念馆,国家一级博物馆,上海,上海市虹口区甜爱路200号,021-65402288,https://www.luxunmuseum.cn/,https://www.luxunmuseum.cn/visitor/index/id/4.html,否
中共一大纪念馆,国家一级博物馆,上海,上海市黄浦区黄陂南路374号,021-53832171转111;021-53832171转222,https://www.zgyd1921.com/,https://www.zgyd1921.com/,否
上海科技馆,国家一级博物馆,上海,上海浦东新区世纪大道2000号,86-21-68622000;86-21-68543010,https://m.sstm.org.cn/about,https://group.sstm.org.cn/business/contact,否
陈云纪念馆（青浦革命历史纪念馆）,国家一级博物馆,上海,上海市青浦区练塘镇老朱枫公路3516号,021-59257178;021-59257184;021-59257105,https://www.cyjng.net/,https://www.cyjng.net/;https://www.cyjng.net/h-nd-249.html,否
上海中国航海博物馆,国家一级博物馆,上海,上海市浦东新区临港新城申港大道197号（近滴水湖）,021-68283691;021-38287777,https://www.shmmc.com.cn/,https://www.shmmc.com.cn/Home/GkjsList,否
上海市龙华烈士纪念馆,国家一级博物馆,上海,上海市龙华西路180号 200232,021-64685995,https://www.slmmm.com/,https://www.slmmm.com/,否
上海市历史博物馆（上海革命历史博物馆）,国家一级博物馆,上海,上海市黄浦区南京西路325号,23299999,https://shmuseum.4dage.com/web/,https://whlyj.sh.gov.cn/zsdw/20151007/0022-30547.html,否
钱学森图书馆,国家一级博物馆,上海,上海市徐汇区华山路1800号,021-62932068,https://www.qianxslib.sjtu.edu.cn/,https://www.qianxslib.sjtu.edu.cn/visit/visit01.php,否
上海大学博物馆,国家一级博物馆,上海,上海市宝山区南陈路333号,021-66133465,https://museum.shu.edu.cn/,https://museum.shu.edu.cn/sy/sycgxz.htm,否
嘉定博物馆,国家一级博物馆,上海,,,,https://www.jiading.gov.cn/mspd/shgj/content_500715,是
上海市奉贤区博物馆,国家一级博物馆,上海,奉贤区湖畔路333号,021-37136868,https://www.fxbwg.cn/,https://www.fxbwg.cn/,否
南京博物院,国家一级博物馆,江苏,南京市中山东路321号,025-84807923,https://www.njmuseum.com/,https://ticket.wisdommuseum.cn/reservation/explainOut/out/toExplainHome.do,否
侵华日军南京大屠杀遇难同胞纪念馆,国家一级博物馆,江苏,南京市水西门大街418号,025-86612230,https://www.19371213.org.cn/,https://www.19371213.org.cn/guide/how/,否
南通博物苑,国家一级博物馆,江苏,,,,https://wglj.nantong.gov.cn/ntswgxj/bmdt/content/0cd91b0f-0211-43be-bc99-446a4b0da4f8.html,是
苏州博物馆（苏州民俗博物馆）,国家一级博物馆,江苏,中国江苏省苏州市东北街204号,0512-67675688,https://www.szmuseum.com/,https://file.szmuseum.com/WaterMark/%E9%97%A8%E6%88%B7%E7%BD%91%E7%AB%99%E5%A4%9A%E5%AA%92%E4%BD%93%E6%96%87%E4%BB%B6/20200911092352SsDGCF.pdf,否
扬州博物馆,国家一级博物馆,江苏,扬州市邗江区文昌西路468号,0514-85228003,https://www.yzmuseum.com/,https://www.yzmuseum.com/index.html,否
常州博物馆,国家一级博物馆,江苏,未明确,未明确,https://www.czmuseum.com/,https://www.czmuseum.com/mobile/,是
南京市博物总馆,国家一级博物馆,江苏,南京市秦淮区朝天宫4号,025-84466460,http://www.njmuseumadmin.com/,https://www.njmuseumadmin.com/website.html;https://www.njmuseumadmin.com/About/about/id/43,是
南京中国科举博物馆,国家一级博物馆,江苏,南京市秦淮区金陵路1号,025-52236971,https://www.njiemuseum.com/,https://www.njiemuseum.com/contact.html,否
雨花台烈士纪念馆,国家一级博物馆,江苏,南京市雨花台区雨花路215号,025-68783067;025-68783093,https://yht.nanjing.gov.cn/,https://yht.nanjing.gov.cn/rednanjing/lxwm/;https://yht.nanjing.gov.cn/rednanjing/hszxmap/202506/t20250611_5583622.html,否
无锡博物院,国家一级博物馆,江苏,无锡市钟书路100号,0510-85727500;0510-85727600,https://www.wxmuseum.cn/,https://www.wxmuseum.cn/wxbwg/Exhibition/BasicDetails/99786b60-ce37-4fd6-b67c-fa022706bcc9,否
徐州博物馆,国家一级博物馆,江苏,江苏省徐州市和平路118号,0516-83804412,https://www.xzmuseum.com/,https://www.xzmuseum.com/,否
常熟博物馆,国家一级博物馆,江苏,未明确,未明确,http://cs.jsmuseum.com/,http://cs.jsmuseum.com/,是
镇江博物馆,国家一级博物馆,江苏,镇江市伯先路85号,0511-85285032;0511-85277143;0511-85285117,https://www.zj-museum.com.cn/,https://www.zj-museum.com.cn/zjbwg/zjbwg/fw/zblx/szzgj/index.html,否
南京大报恩寺遗址博物馆,国家一级博物馆,江苏,,,,https://www.nju.edu.cn/info/1056/366021.htm,是
南京城墙博物馆,国家一级博物馆,江苏,南京市秦淮区新民坊路边营1号,未明确,https://www.njcitywall.com/,https://www.njcitywall.com/Article/xinxizhongxin/zhengwuxinxi/2021/1228/1252.html,是
宜兴市博物馆,国家一级博物馆,江苏,宜兴市解放东路文化中心大院内,未明确,https://www.yxmuseum.com/,https://www.yxmuseum.com/assets/doc/%E5%8D%9A%E7%89%A9%E9%A6%86%E7%AB%A0%E7%A8%8B.pdf,是
江阴市博物馆,国家一级博物馆,江苏,江阴市澄江中路128号（天华文化中心内）,0510-86862655,https://www.jymuseum.com.cn/,https://www.jymuseum.com.cn/index.php?Itemid=139&id=224&option=com_content&view=article,否
淮海战役纪念馆,国家一级博物馆,江苏,,,,https://www.jsmm.org.cn/jyjd/202406/t20240620_78969.shtml,是
苏州丝绸博物馆,国家一级博物馆,江苏,未明确,未明确,https://www.szsilkmuseum.com/,https://www.szsilkmuseum.com/index.html,是
苏州市吴中区博物馆（苏州吴文华博物馆）,国家一级博物馆,江苏,苏州市吴中区澹台街9号,0512-65655999,https://wuzhongmuseum.com/,https://www.wuzhongmuseum.com/portal/visit/map,否
连云港市博物馆,国家一级博物馆,江苏,连云港市海州区朝阳东路68号,0518-85681772,https://www.lygmuseum.cn/,https://www.lygmuseum.cn/engine2/m/0/5047788/6037373?currentBranch=1&p=986923&t=12022248,否
周恩来纪念馆,国家一级博物馆,江苏,江苏省淮安市淮安区永怀西路2号,0517-85913032,https://www.zeljng.com/,https://www.zeljng.com/lx/,否
淮安市博物馆,国家一级博物馆,江苏,淮安市健康西路146-1号,0517-83645659;0517-83645608,https://wgj.huaian.gov.cn/jggk/szdw/dw9/content/50e3b09433194b259ffcc0ad13a33857.html,https://wgj.huaian.gov.cn/jggk/szdw/dw9/content/50e3b09433194b259ffcc0ad13a33857.html,否
新四军纪念馆,国家一级博物馆,江苏,盐城市建军东路159号,18861992242,https://www.n4a.org.cn/,https://czj.yancheng.gov.cn/art/2025/12/15/art_20145_33650.html,否
盐城中国海盐博物馆（盐城市博物馆）,国家一级博物馆,江苏,盐城市开放大道2号,0515-89902306;0515-88550080;4008289960,https://www.chinahymuseum.com/,https://www.chinahymuseum.com/,是
扬州中国大运河博物馆,国家一级博物馆,江苏,未明确,0514-82773088,https://www.grandcanalmuseum.cn/,https://www.grandcanalmuseum.cn/canguan.html,是
浙江省博物馆（浙江革命历史纪念馆）,国家一级博物馆,浙江,杭州西湖文化广场E区,0571-85391628,https://www.zhejiangmuseum.com/,https://www.zhejiangmuseum.com/topic/sstz/qianlong.html,是
浙江自然博物院,国家一级博物馆,浙江,未明确,0572-5022030;0572-5022217,https://www.zmnh.cn/,https://english.zmnh.cn/henryEhtml/en_service_reference_anji.html,是
中国丝绸博物馆,国家一级博物馆,浙江,杭州市西湖区玉皇山路73-1号,0571-87035223;0571-87964221;0571-87979221,https://www.chinasilkmuseum.com/,https://www.chinasilkmuseum.com/cgjyy/index_6.aspx;https://www.chinasilkmuseum.com/cgjyy/info_6.aspx?itemid=8969;https://www.chinasilkmuseum.com/gwgk/info_4.aspx?itemid=8790,否
宁波博物院（宁波博物馆、宁波帮博物馆）,国家一级博物馆,浙江,浙江省宁波市鄞州区首南中路1000号,0574-82815588;0574-56800600,https://www.nbmuseum.cn/,https://www.nbmuseum.cn/col/col20527/index.html;https://www.nbmuseum.cn/col/col20497/index.html,否
温州博物馆,国家一级博物馆,浙江,浙江省温州市鹿城区市府路,0577-56988690,https://www.wzmuseum.cn/,https://www.wzmuseum.cn/Col/Col50/Index.aspx,否
